u	v	w
5516	777	11	
1797	778	19	
1470	779	5	
4769	780	3	
9281	781	15	
3055	782	9	
7424	783	6	
9674	784	30	
7192	785	14	
9245	786	10	
4029	787	12	
2832	788	9	
9455	789	12	
9382	790	5	
1017	791	10	
2178	792	18	
3963	793	4	
2107	794	50	
9673	795	12	
6764	796	15	
1879	797	3	
9314	798	12	
3376	799	22	
6064	800	10	
3119	801	2	
9756	802	20	
4949	803	4	
7338	804	16	
2159	805	15	
3623	806	6	
596	807	2	
3429	808	14	
6364	809	6	
56	810	2	
1480	811	13	
6903	812	1	
648	813	12	
1324	814	5	
8727	815	27	
2828	816	9	
635	817	20	
9332	818	16	
5146	819	10	
2359	820	15	
6692	821	26	
2654	822	15	
6679	823	9	
9489	824	6	
8315	825	12	
8773	826	28	
9996	827	1	
7007	828	16	
3235	829	21	
6645	830	11	
8114	831	12	
6597	832	5	
576	833	22	
1600	834	15	
4572	835	2	
7472	836	19	
7365	837	2	
6788	838	5	
6282	839	17	
4263	840	13	
6373	841	1	
8848	842	4	
7485	843	7	
8896	844	23	
6475	845	22	
3259	846	9	
5375	847	7	
8402	848	22	
7438	849	10	
1640	850	9	
208	851	3	
3780	852	19	
1958	853	35	
7051	854	15	
1300	855	7	
8004	856	14	
5163	857	61	
6412	858	27	
8942	859	57	
1687	860	22	
5666	861	18	
3189	862	1	
6525	863	16	
1872	864	26	
6622	865	16	
9409	866	6	
2786	867	6	
6424	868	16	
7991	869	7	
2523	870	8	
8875	871	7	
8930	872	4	
6459	873	11	
6137	874	10	
458	875	27	
3042	876	10	
3128	877	1	
8575	878	40	
4051	879	9	
3483	880	18	
4523	881	43	
1952	882	8	
4275	883	18	
9835	884	3	
6506	885	15	
5654	886	10	
2443	887	6	
2824	888	30	
6827	889	1	
2084	890	14	
813	891	15	
7039	892	14	
9142	893	9	
6732	894	3	
1359	895	8	
2266	896	10	
6788	897	12	
2891	898	10	
8240	899	12	
7521	900	3	
567	901	4	
4963	902	14	
2508	903	3	
9500	904	8	
9534	905	9	
6257	906	3	
9169	907	21	
5039	908	22	
6145	909	16	
91	910	1	
7321	911	10	
9371	912	9	
8848	913	14	
9225	914	8	
1797	915	56	
628	916	19	
828	917	18	
8388	918	3	
1219	919	5	
2145	920	40	
197	921	17	
6282	922	26	
4642	923	8	
7279	924	16	
3157	925	3	
804	926	15	
7982	927	2	
6833	928	3	
6350	929	14	
8851	930	25	
1209	931	5	
6426	932	8	
169	933	8	
3587	934	13	
4408	935	32	
9987	936	1	
2623	937	7	
5790	938	27	
5444	939	17	
3430	940	10	
5516	941	4	
6157	942	23	
4173	943	12	
2968	944	4	
8069	945	11	
45	946	5	
9830	947	10	
4316	948	15	
2654	949	32	
5166	950	19	
2591	951	11	
4865	952	16	
5252	953	23	
5345	954	7	
8227	955	23	
8314	956	11	
2470	957	14	
6255	958	13	
2790	959	20	
6894	960	16	
4876	961	15	
5089	962	37	
103	963	25	
9533	964	12	
5615	965	9	
5232	966	10	
4002	967	4	
8650	968	5	
980	969	35	
9276	970	4	
6600	971	21	
4358	972	3	
4799	973	22	
8099	974	16	
2381	975	17	
4959	976	13	
8251	977	3	
6684	978	1	
634	979	4	
1434	980	33	
6125	981	2	
8191	982	2	
933	983	24	
4375	984	12	
9557	985	14	
6304	986	16	
1369	987	8	
5956	988	20	
6863	989	5	
5475	990	7	
3079	991	10	
6795	992	16	
4497	993	25	
7801	994	9	
6665	995	4	
4730	996	14	
4475	997	4	
4327	998	6	
8887	999	29	
8968	1000	27	
7516	1001	9	
3662	1002	8	
7953	1003	5	
3086	1004	17	
7816	1005	4	
3365	1006	14	
8978	1007	17	
5125	1008	8	
6303	1009	8	
7481	1010	7	
6740	1011	5	
120	1012	15	
7555	1013	24	
8382	1014	9	
755	1015	12	
3139	1016	4	
943	1017	1	
7791	1018	10	
1478	1019	16	
2248	1020	12	
7905	1021	23	
1336	1022	5	
6366	1023	11	
1284	1024	11	
9536	1025	20	
4867	1026	15	
904	1027	9	
6088	1028	3	
6970	1029	17	
